FBID,female_narrow_heritability,male_narrow_heritability
FBgn0031893,0.178,0.159
FBgn0031894,0.167,0.034
FBgn0031895,0.172,0.174
FBgn0031896,0.097,0.058
FBgn0031897,0.000,0.150
FBgn0031900,0.000,0.016
FBgn0031902,0.041,0.142
FBgn0031903,0.000,0.000
FBgn0031904,0.010,0.000
FBgn0031905,0.000,0.291
FBgn0031906,0.000,0.009
FBgn0031907,0.113,0.245
FBgn0031908,0.355,0.391
FBgn0031909,0.009,0.039
FBgn0031910,0.551,0.504
FBgn0031912,0.298,0.318
FBgn0031913,0.282,0.232
FBgn0031914,0.342,0.432
FBgn0031918,0.056,0.169
FBgn0031920,0.036,0.375
FBgn0031925,0.253,0.686
FBgn0031929,0.136,0.174
FBgn0031930,0.109,0.122
FBgn0031934,0.016,0.247
FBgn0031935,0.063,0.152
FBgn0031936,0.311,0.329
FBgn0031937,0.297,0.227
FBgn0031939,0.097,0.061
FBgn0031940,0.495,0.518
FBgn0031941,0.000,0.156
FBgn0031942,0.505,0.516
FBgn0031943,0.083,0.046
FBgn0031944,0.000,0.419
FBgn0031945,0.060,0.096
FBgn0031946,0.114,0.352
FBgn0031947,0.220,0.180
FBgn0031948,0.306,0.071
FBgn0031950,0.133,0.122
FBgn0031951,0.238,0.006
FBgn0031952,0.368,0.354
FBgn0031954,0.001,0.169
FBgn0031955,0.096,0.060
FBgn0031957,0.075,0.214
FBgn0031959,0.000,0.016
FBgn0031961,0.000,0.055
FBgn0031968,0.264,0.354
FBgn0031969,0.063,0.087
FBgn0031970,0.153,0.046
FBgn0031971,0.210,0.339
FBgn0031972,0.194,0.218
FBgn0031973,0.122,0.091
FBgn0031974,0.060,0.094
FBgn0031975,0.202,0.111
FBgn0031976,0.000,0.058
FBgn0031977,0.097,0.000
FBgn0031979,0.177,0.057
FBgn0031980,0.000,0.095
FBgn0031981,0.329,0.077
FBgn0031985,0.076,0.000
FBgn0031986,0.000,0.222
FBgn0031987,0.102,0.029
FBgn0031988,0.206,0.074
FBgn0031990,0.105,0.196
FBgn0031992,0.013,0.000
FBgn0031995,0.135,0.369
FBgn0031996,0.135,0.233
FBgn0031997,0.122,0.071
FBgn0031998,0.129,0.105
FBgn0031999,0.144,0.115
FBgn0032000,0.070,0.114
FBgn0032001,0.198,0.099
FBgn0032002,0.139,0.175
FBgn0032003,0.000,0.083
FBgn0032004,0.000,0.093
FBgn0032005,0.052,0.156
FBgn0032006,0.213,0.178
FBgn0032008,0.097,0.176
FBgn0032010,0.134,0.215
FBgn0032013,0.012,0.096
FBgn0032014,0.207,0.000
FBgn0032015,0.158,0.120
FBgn0032016,0.142,0.000
FBgn0032017,0.032,0.014
FBgn0032018,0.015,0.257
FBgn0032020,0.047,0.048
FBgn0032021,0.199,0.104
FBgn0032022,0.041,0.000
FBgn0032023,0.126,0.017
FBgn0032024,0.123,0.007
FBgn0032025,0.300,0.308
FBgn0032026,0.397,0.119
FBgn0032029,0.224,0.343
FBgn0032030,0.000,0.026
FBgn0032031,0.125,0.000
FBgn0032032,0.232,0.080
FBgn0032033,0.073,0.075
FBgn0032034,0.319,0.144
FBgn0032036,0.025,0.000
FBgn0032039,0.004,0.559
FBgn0032040,0.000,0.000
FBgn0032042,0.412,0.561
FBgn0032047,0.194,0.803
FBgn0032048,0.212,0.084
FBgn0032049,0.230,0.373
FBgn0032050,0.247,0.033
FBgn0032051,0.214,0.099
FBgn0032052,0.122,0.111
FBgn0032053,0.005,0.182
FBgn0032054,0.108,0.162
FBgn0032055,0.782,0.570
FBgn0032057,0.000,0.043
FBgn0032058,0.000,0.000
FBgn0032059,0.000,0.012
FBgn0032061,0.014,0.309
FBgn0032065,0.469,0.270
FBgn0032066,0.144,0.158
FBgn0032067,0.098,0.113
FBgn0032068,0.291,0.213
FBgn0032069,0.372,0.301
FBgn0032072,0.000,0.263
FBgn0032074,0.120,0.087
FBgn0032075,0.212,0.142
FBgn0032077,0.080,0.072
FBgn0032078,0.170,0.208
FBgn0032079,0.443,0.212
FBgn0032080,0.000,0.212
FBgn0032082,0.326,0.128
FBgn0032083,0.017,0.135
FBgn0032084,0.572,0.146
FBgn0032085,0.171,0.102
FBgn0032086,0.000,0.097
FBgn0032087,0.342,0.358
FBgn0032088,0.303,0.267
FBgn0032089,0.046,0.095
FBgn0032090,0.042,0.379
FBgn0032094,0.032,0.219
FBgn0032095,0.035,0.042
FBgn0032096,0.060,0.047
FBgn0032100,0.000,0.062
FBgn0032101,0.054,0.073
FBgn0032104,0.000,0.052
FBgn0032105,0.048,0.027
FBgn0032109,0.003,0.287
FBgn0032110,0.000,0.186
FBgn0032111,0.000,0.354
FBgn0032115,0.000,0.115
FBgn0032116,0.246,0.352
FBgn0032117,0.133,0.052
FBgn0032119,0.000,0.000
FBgn0032120,0.183,0.225
FBgn0032122,0.000,0.261
FBgn0032123,0.173,0.147
FBgn0032124,0.028,0.029
FBgn0032125,0.000,0.000
FBgn0032126,0.227,0.060
FBgn0032127,0.341,0.005
FBgn0032129,0.216,0.203
FBgn0032130,0.398,0.091
FBgn0032131,0.068,0.272
FBgn0032132,0.005,0.046
FBgn0032135,0.140,0.317
FBgn0032136,0.376,0.387
FBgn0032138,0.160,0.355
FBgn0032139,0.109,0.158
FBgn0032140,0.003,0.033
FBgn0032143,0.045,0.175
FBgn0032144,0.315,0.551
FBgn0032147,0.000,0.061
FBgn0032149,0.094,0.000
FBgn0032150,0.003,0.093
FBgn0032151,0.067,0.000
FBgn0032153,0.000,0.069
FBgn0032154,0.101,0.000
FBgn0032156,0.465,0.388
FBgn0032157,0.118,0.000
FBgn0032160,0.151,0.075
FBgn0032161,0.146,0.161
FBgn0032162,0.175,0.148
FBgn0032163,0.021,0.167
FBgn0032166,0.052,0.117
FBgn0032167,0.179,0.155
FBgn0032168,0.293,0.192
FBgn0032169,0.213,0.264
FBgn0032170,0.081,0.230
FBgn0032171,0.030,0.065
FBgn0032172,0.226,0.185
FBgn0032175,0.000,0.235
FBgn0032176,0.000,0.209
FBgn0032178,0.182,0.208
FBgn0032181,0.012,0.009
FBgn0032184,0.000,0.029
FBgn0032187,0.134,0.291
FBgn0032188,0.025,0.068
FBgn0032189,0.254,0.141
FBgn0032191,0.119,0.059
FBgn0032192,0.017,0.014
FBgn0032193,0.182,0.095
FBgn0032194,0.212,0.160
FBgn0032195,0.067,0.057
FBgn0032196,0.031,0.000
FBgn0032197,0.264,0.000
FBgn0032198,0.144,0.169
FBgn0032200,0.043,0.008
FBgn0032202,0.038,0.000
FBgn0032204,0.128,0.110
FBgn0032205,0.056,0.261
FBgn0032208,0.095,0.181
FBgn0032209,0.000,0.000
FBgn0032210,0.120,0.199
FBgn0032211,0.042,0.039
FBgn0032213,0.184,0.029
FBgn0032214,0.174,0.332
FBgn0032215,0.197,0.000
FBgn0032216,0.061,0.076
FBgn0032217,0.182,0.073
FBgn0032218,0.357,0.301
FBgn0032219,0.121,0.232
FBgn0032221,0.037,0.022
FBgn0032222,0.034,0.158
FBgn0032223,0.207,0.034
FBgn0032224,0.653,0.386
FBgn0032225,0.102,0.106
FBgn0032228,0.009,0.081
FBgn0032229,0.207,0.292
FBgn0032230,0.120,0.000
FBgn0032231,0.248,0.131
FBgn0032233,0.104,0.014
FBgn0032234,0.274,0.184
FBgn0032235,0.210,0.159
FBgn0032236,0.048,0.020
FBgn0032240,0.054,0.000
FBgn0032242,0.014,0.127
FBgn0032243,0.351,0.056
FBgn0032244,0.058,0.051
FBgn0032246,0.139,0.000
FBgn0032247,0.011,0.020
FBgn0032248,0.000,0.215
FBgn0032249,0.274,0.249
FBgn0032250,0.042,0.069
FBgn0032251,0.147,0.000
FBgn0032252,0.114,0.159
FBgn0032253,0.332,0.240
FBgn0032256,0.173,0.333
FBgn0032258,0.162,0.348
FBgn0032259,0.158,0.119
FBgn0032260,0.000,0.186
FBgn0032261,0.130,0.081
FBgn0032262,0.260,0.049
FBgn0032264,0.345,0.353
FBgn0032265,0.040,0.354
FBgn0032266,0.222,0.389
FBgn0032268,0.097,0.310
FBgn0032269,0.000,0.344
FBgn0032271,0.007,0.267
FBgn0032276,0.033,0.360
FBgn0032280,0.000,0.000
FBgn0032281,0.018,0.054
FBgn0032282,0.000,0.145
FBgn0032283,0.018,0.041
FBgn0032284,0.000,0.049
FBgn0032285,0.365,0.261
FBgn0032287,0.247,0.127
FBgn0032289,0.000,0.035
FBgn0032290,0.086,0.177
FBgn0032291,0.167,0.281
FBgn0032292,0.130,0.026
FBgn0032293,0.121,0.051
FBgn0032294,0.019,0.111
FBgn0032295,0.041,0.000
FBgn0032296,0.066,0.027
FBgn0032297,0.488,0.364
FBgn0032298,0.058,0.058
FBgn0032299,0.000,0.000
FBgn0032303,0.180,0.000
FBgn0032304,0.009,0.000
FBgn0032305,0.226,0.172
FBgn0032311,0.023,0.037
FBgn0032312,0.068,0.103
FBgn0032313,0.000,0.245
FBgn0032314,0.046,0.229
FBgn0032315,0.055,0.034
FBgn0032318,0.018,0.367
FBgn0032321,0.147,0.038
FBgn0032322,0.461,0.261
FBgn0032329,0.144,0.067
FBgn0032330,0.217,0.377
FBgn0032331,0.000,0.079
FBgn0032335,0.071,0.000
FBgn0032336,0.016,0.080
FBgn0032337,0.000,0.202
FBgn0032338,0.031,0.237
FBgn0032339,0.081,0.313
FBgn0032340,0.056,0.081
FBgn0032341,0.104,0.237
FBgn0032343,0.154,0.058
FBgn0032345,0.184,0.143
FBgn0032346,0.123,0.127
FBgn0032348,0.209,0.120
FBgn0032350,0.232,0.432
FBgn0032354,0.178,0.000
FBgn0032358,0.219,0.340
FBgn0032359,0.000,0.159
FBgn0032360,0.000,0.143
FBgn0032361,0.023,0.171
FBgn0032362,0.028,0.081
FBgn0032363,0.125,0.086
FBgn0032364,0.010,0.593
FBgn0032365,0.000,0.129
FBgn0032366,0.000,0.213
FBgn0032368,0.000,0.055
FBgn0032369,0.000,0.385
FBgn0032370,0.000,0.103
FBgn0032371,0.000,0.325
FBgn0032372,0.000,0.382
FBgn0032373,0.076,0.257
FBgn0032374,0.302,0.514
FBgn0032375,0.000,0.105
FBgn0032376,0.000,0.089
FBgn0032377,0.016,0.097
FBgn0032378,0.000,0.216
FBgn0032381,0.773,0.798
FBgn0032382,0.598,0.653
FBgn0032385,0.000,0.185
FBgn0032387,0.370,0.343
FBgn0032388,0.216,0.103
FBgn0032390,0.077,0.000
FBgn0032391,0.224,0.113
FBgn0032393,0.000,0.022
FBgn0032394,0.159,0.362
FBgn0032395,0.118,0.044
FBgn0032397,0.490,0.368
FBgn0032398,0.059,0.085
FBgn0032399,0.037,0.046
FBgn0032400,0.695,0.574
FBgn0032401,0.073,0.070
FBgn0032402,0.133,0.067
FBgn0032404,0.207,0.188
FBgn0032405,0.065,0.202
FBgn0032406,0.000,0.000
FBgn0032407,0.059,0.070
FBgn0032408,0.026,0.000
FBgn0032409,0.078,0.042
FBgn0032414,0.000,0.070
FBgn0032415,0.110,0.267
FBgn0032416,0.116,0.000
FBgn0032419,0.000,0.071
FBgn0032420,0.084,0.024
FBgn0032421,0.169,0.083
FBgn0032422,0.131,0.060
FBgn0032424,0.071,0.403
FBgn0032428,0.000,0.309
FBgn0032429,0.098,0.099
FBgn0032430,0.080,0.050
FBgn0032431,0.000,0.146
FBgn0032433,0.290,0.154
FBgn0032434,0.209,0.149
FBgn0032435,0.211,0.131
FBgn0032436,0.060,0.000
FBgn0032437,0.070,0.039
FBgn0032439,0.000,0.238
FBgn0032442,0.032,0.063
FBgn0032444,0.209,0.005
FBgn0032445,0.183,0.295
FBgn0032446,0.047,0.000
FBgn0032447,0.002,0.153
FBgn0032448,0.000,0.168
FBgn0032449,0.000,0.135
FBgn0032450,0.199,0.071
FBgn0032451,0.174,0.317
FBgn0032452,0.228,0.345
FBgn0032453,0.253,0.256
FBgn0032454,0.061,0.120
FBgn0032455,0.000,0.203
FBgn0032456,0.310,0.454
FBgn0032457,0.000,0.127
FBgn0032462,0.075,0.049
FBgn0032464,0.011,0.282
FBgn0032465,0.135,0.204
FBgn0032467,0.079,0.260
FBgn0032470,0.119,0.011
FBgn0032471,0.280,0.433
FBgn0032472,0.419,0.450
FBgn0032473,0.016,0.233
FBgn0032474,0.197,0.119
FBgn0032475,0.184,0.155
FBgn0032476,0.127,0.488
FBgn0032477,0.146,0.461
FBgn0032478,0.200,0.375
FBgn0032479,0.183,0.416
FBgn0032480,0.000,0.000
FBgn0032481,0.109,0.379
FBgn0032482,0.198,0.212
FBgn0032483,0.000,0.503
FBgn0032484,0.000,0.000
FBgn0032485,0.122,0.173
FBgn0032486,0.010,0.145
FBgn0032487,0.021,0.000
FBgn0032488,0.089,0.084
FBgn0032489,0.000,0.055
FBgn0032490,0.000,0.017
FBgn0032491,0.000,0.000
FBgn0032492,0.000,0.305
FBgn0032493,0.004,0.000
FBgn0032494,0.300,0.389
FBgn0032495,0.169,0.518
FBgn0032499,0.205,0.143
FBgn0032503,0.067,0.171
FBgn0032505,0.436,0.497
FBgn0032506,0.000,0.000
FBgn0032507,0.399,0.624
FBgn0032509,0.127,0.000
FBgn0032511,0.013,0.124
FBgn0032512,0.106,0.241
FBgn0032513,0.391,0.437
FBgn0032514,0.118,0.001
FBgn0032515,0.028,0.092
FBgn0032516,0.000,0.140
FBgn0032517,0.000,0.126
FBgn0032518,0.000,0.026
FBgn0032519,0.011,0.176
FBgn0032520,0.000,0.311
FBgn0032521,0.183,0.171
FBgn0032522,0.079,0.082
FBgn0032523,0.043,0.035
FBgn0032524,0.037,0.004
FBgn0032525,0.062,0.189
FBgn0032530,0.063,0.259
FBgn0032533,0.045,0.029
FBgn0032535,0.001,0.000
FBgn0032536,0.183,0.400
FBgn0032538,0.000,0.142
FBgn0032549,0.000,0.000
FBgn0032551,0.076,0.001
FBgn0032553,0.000,0.469
FBgn0032554,0.000,0.059
FBgn0032563,0.000,0.139
FBgn0032577,0.000,0.260
FBgn0032582,0.132,0.000
FBgn0032585,0.085,0.025
FBgn0032586,0.000,0.217
FBgn0032587,0.147,0.033
FBgn0032588,0.083,0.249
FBgn0032590,0.000,0.379
FBgn0032593,0.012,0.100
FBgn0032596,0.083,0.125
FBgn0032597,0.034,0.000
FBgn0032598,0.122,0.172
FBgn0032600,0.081,0.131
FBgn0032601,0.058,0.104
FBgn0032602,0.169,0.283
FBgn0032603,0.496,0.644
FBgn0032609,0.000,0.206
FBgn0032612,0.228,0.186
FBgn0032613,0.006,0.171
FBgn0032614,0.460,0.206
FBgn0032615,0.036,0.293
FBgn0032620,0.019,0.000
FBgn0032624,0.044,0.183
FBgn0032625,0.000,0.156
FBgn0032626,0.050,0.483
FBgn0032627,0.000,0.089
FBgn0032629,0.029,0.000
FBgn0032631,0.000,0.075
FBgn0032632,0.001,0.292
FBgn0032633,0.057,0.083
FBgn0032634,0.002,0.000
FBgn0032635,0.217,0.000
FBgn0032636,0.000,0.431
FBgn0032637,0.051,0.093
FBgn0032638,0.419,0.447
FBgn0032639,0.000,0.000
FBgn0032640,0.159,0.165
FBgn0032642,0.019,0.024
FBgn0032643,0.119,0.032
FBgn0032644,0.153,0.110
FBgn0032645,0.067,0.000
FBgn0032646,0.000,0.204
FBgn0032647,0.015,0.357
FBgn0032648,0.000,0.362
FBgn0032649,0.000,0.391
FBgn0032650,0.011,0.262
FBgn0032651,0.004,0.000
FBgn0032652,0.204,0.111
FBgn0032654,0.000,0.128
FBgn0032656,0.108,0.041
FBgn0032658,0.051,0.363
FBgn0032660,0.000,0.207
FBgn0032663,0.000,0.135
FBgn0032664,0.000,0.369
FBgn0032665,0.196,0.000
FBgn0032666,0.345,0.276
FBgn0032668,0.000,0.014
FBgn0032669,0.229,0.338
FBgn0032670,0.017,0.000
FBgn0032671,0.066,0.128
FBgn0032673,0.209,0.153
FBgn0032677,0.037,0.396
FBgn0032679,0.370,0.079
FBgn0032680,0.060,0.344
FBgn0032681,0.130,0.043
FBgn0032682,0.048,0.071
FBgn0032683,0.200,0.299
FBgn0032684,0.450,0.584
FBgn0032685,0.000,0.265
FBgn0032688,0.339,0.457
FBgn0032689,0.441,0.414
FBgn0032690,0.016,0.130
FBgn0032691,0.085,0.167
FBgn0032692,0.000,0.000
FBgn0032693,0.074,0.422
FBgn0032694,0.308,0.282
FBgn0032698,0.060,0.000
FBgn0032699,0.331,0.395
FBgn0032700,0.111,0.000
FBgn0032701,0.244,0.356
FBgn0032702,0.126,0.000
FBgn0032703,0.221,0.085
FBgn0032704,0.008,0.132
FBgn0032705,0.285,0.302
FBgn0032706,0.341,0.390
FBgn0032707,0.118,0.131
FBgn0032709,0.000,0.175
FBgn0032713,0.333,0.437
FBgn0032715,0.155,0.000
FBgn0032717,0.113,0.259
FBgn0032719,0.000,0.000
FBgn0032720,0.136,0.110
FBgn0032721,0.140,0.013
FBgn0032723,0.210,0.298
FBgn0032724,0.089,0.162
FBgn0032725,0.007,0.000
FBgn0032726,0.435,0.347
FBgn0032727,0.446,0.390
FBgn0032728,0.180,0.000
FBgn0032729,0.000,0.172
FBgn0032730,0.107,0.115
FBgn0032731,0.306,0.229
FBgn0032732,0.057,0.000
FBgn0032733,0.094,0.137
FBgn0032734,0.000,0.077
FBgn0032740,0.000,0.177
FBgn0032741,0.000,0.007
FBgn0032744,0.029,0.108
FBgn0032746,0.051,0.030
FBgn0032748,0.116,0.215
FBgn0032749,0.000,0.098
FBgn0032750,0.000,0.011
FBgn0032751,0.000,0.004
FBgn0032752,0.179,0.027
FBgn0032753,0.126,0.000
FBgn0032754,0.027,0.015
FBgn0032763,0.181,0.076
FBgn0032768,0.157,0.199
FBgn0032769,0.114,0.194
FBgn0032770,0.000,0.007
FBgn0032771,0.017,0.281
FBgn0032772,0.136,0.223
FBgn0032773,0.411,0.406
FBgn0032774,0.365,0.368
FBgn0032775,0.232,0.113
FBgn0032779,0.164,0.200
FBgn0032780,0.053,0.000
FBgn0032781,0.068,0.040
FBgn0032782,0.071,0.077
FBgn0032783,0.185,0.158
FBgn0032785,0.297,0.283
FBgn0032787,0.074,0.050
FBgn0032788,0.410,0.000
FBgn0032789,0.392,0.000
FBgn0032790,0.144,0.013
FBgn0032791,0.027,0.083
FBgn0032793,0.000,0.000
FBgn0032796,0.141,0.000
FBgn0032797,0.152,0.130
FBgn0032798,0.000,0.020
FBgn0032799,0.023,0.168
FBgn0032800,0.208,0.210
FBgn0032801,0.072,0.175
FBgn0032803,0.108,0.185
FBgn0032804,0.231,0.140
FBgn0032805,0.000,0.020
FBgn0032809,0.000,0.000
FBgn0032810,0.073,0.003
FBgn0032811,0.000,0.311
FBgn0032812,0.000,0.032
FBgn0032813,0.000,0.015
FBgn0032814,0.081,0.241
FBgn0032815,0.337,0.067
FBgn0032816,0.074,0.098
FBgn0032817,0.043,0.195
FBgn0032818,0.089,0.148
FBgn0032819,0.216,0.000
FBgn0032820,0.300,0.227
FBgn0032821,0.131,0.243
FBgn0032822,0.112,0.000
FBgn0032824,0.172,0.047
FBgn0032827,0.104,0.000
FBgn0032833,0.188,0.207
FBgn0032834,0.000,0.195
FBgn0032835,0.583,0.542
FBgn0032836,0.552,0.554
FBgn0032839,0.043,0.267
FBgn0032840,0.037,0.000
FBgn0032843,0.051,0.132
FBgn0032845,0.118,0.097
FBgn0032846,0.056,0.063
FBgn0032847,0.016,0.032
FBgn0032848,0.288,0.466
FBgn0032849,0.120,0.108
FBgn0032850,0.120,0.175
FBgn0032851,0.006,0.062
FBgn0032853,0.000,0.144
FBgn0032856,0.000,0.000
FBgn0032857,0.116,0.154
FBgn0032858,0.000,0.092
FBgn0032859,0.329,0.031
FBgn0032860,0.000,0.000
FBgn0032863,0.171,0.318
FBgn0032864,0.252,0.403
FBgn0032867,0.050,0.625
FBgn0032868,0.000,0.595
FBgn0032869,0.347,0.068
FBgn0032870,0.118,0.030
FBgn0032871,0.055,0.048
FBgn0032873,0.143,0.037
FBgn0032876,0.158,0.287
FBgn0032877,0.114,0.090
FBgn0032878,0.036,0.329
FBgn0032879,0.074,0.074
FBgn0032880,0.138,0.030
FBgn0032881,0.226,0.216
FBgn0032882,0.292,0.284
FBgn0032883,0.286,0.340
FBgn0032884,0.141,0.065
FBgn0032888,0.127,0.024
FBgn0032889,0.327,0.410
FBgn0032891,0.242,0.000
FBgn0032894,0.000,0.361
FBgn0032895,0.000,0.050
FBgn0032896,0.063,0.150
FBgn0032897,0.295,0.388
FBgn0032898,0.000,0.000
FBgn0032899,0.210,0.400
FBgn0032900,0.026,0.110
FBgn0032904,0.000,0.047
FBgn0032906,0.108,0.034
FBgn0032907,0.213,0.091
FBgn0032908,0.117,0.368
FBgn0032910,0.351,0.138
FBgn0032911,0.072,0.181
FBgn0032913,0.567,0.737
FBgn0032914,0.101,0.031
FBgn0032915,0.160,0.211
FBgn0032919,0.349,0.196
FBgn0032921,0.030,0.045
FBgn0032922,0.000,0.028
FBgn0032923,0.340,0.128
FBgn0032924,0.092,0.020
FBgn0032925,0.277,0.002
FBgn0032929,0.358,0.055
FBgn0032934,0.141,0.181
FBgn0032935,0.079,0.062
FBgn0032938,0.242,0.269
FBgn0032940,0.302,0.239
FBgn0032943,0.387,0.178
FBgn0032945,0.681,0.658
FBgn0032946,0.225,0.000
FBgn0032949,0.599,0.005
FBgn0032955,0.104,0.343
FBgn0032956,0.147,0.118
FBgn0032957,0.300,0.173
FBgn0032961,0.182,0.000
FBgn0032964,0.071,0.213
FBgn0032965,0.000,0.216
FBgn0032966,0.000,0.207
FBgn0032967,0.000,0.330
FBgn0032968,0.022,0.218
FBgn0032969,0.000,0.538
FBgn0032971,0.145,0.141
FBgn0032972,0.000,0.000
FBgn0032973,0.089,0.316
FBgn0032974,0.258,0.002
FBgn0032979,0.183,0.098
FBgn0032981,0.125,0.177
FBgn0032986,0.237,0.070
FBgn0032987,0.000,0.014
FBgn0032988,0.298,0.148
FBgn0032997,0.419,0.166
FBgn0033000,0.285,0.118
FBgn0033005,0.187,0.060
FBgn0033010,0.330,0.080
FBgn0033015,0.147,0.000
FBgn0033017,0.117,0.000
FBgn0033019,0.130,0.006
FBgn0033020,0.000,0.111
FBgn0033021,0.270,0.162
FBgn0033027,0.327,0.390
FBgn0033028,0.144,0.000
FBgn0033029,0.000,0.135
FBgn0033031,0.128,0.200
FBgn0033032,0.152,0.111
FBgn0033033,0.158,0.190
FBgn0033038,0.000,0.085
FBgn0033039,0.402,0.068
FBgn0033041,0.265,0.264
FBgn0033042,0.170,0.309
FBgn0033043,0.000,0.000
FBgn0033047,0.387,0.397
FBgn0033048,0.111,0.123
FBgn0033050,0.146,0.016
FBgn0033051,0.585,0.414
FBgn0033052,0.004,0.249
FBgn0033054,0.102,0.147
FBgn0033055,0.224,0.173
FBgn0033056,0.000,0.465
FBgn0033058,0.000,0.064
FBgn0033059,0.230,0.000
FBgn0033060,0.061,0.311
FBgn0033061,0.039,0.224
FBgn0033062,0.094,0.137
FBgn0033063,0.134,0.179
FBgn0033065,0.843,0.852
FBgn0033067,0.273,0.291
FBgn0033069,0.000,0.149
FBgn0033072,0.000,0.027
FBgn0033074,0.042,0.109
FBgn0033075,0.293,0.461
FBgn0033076,0.006,0.038
FBgn0033079,0.121,0.216
FBgn0033081,0.124,0.019
FBgn0033083,0.000,0.018
FBgn0033085,0.129,0.086
FBgn0033086,0.011,0.000
FBgn0033087,0.292,0.000
FBgn0033088,0.021,0.000
FBgn0033089,0.123,0.000
FBgn0033090,0.169,0.274
FBgn0033092,0.351,0.132
FBgn0033093,0.321,0.216
FBgn0033095,0.422,0.314
FBgn0033096,0.000,0.041
FBgn0033097,0.079,0.022
FBgn0033100,0.222,0.000
FBgn0033101,0.309,0.227
FBgn0033104,0.093,0.000
FBgn0033108,0.149,0.026
FBgn0033109,0.089,0.262
FBgn0033110,0.005,0.110
FBgn0033112,0.271,0.179
FBgn0033113,0.331,0.273
FBgn0033115,0.239,0.265
FBgn0033117,0.070,0.026
FBgn0033121,0.000,0.083
FBgn0033122,0.108,0.037
FBgn0033124,0.311,0.358
FBgn0033127,0.216,0.341
FBgn0033128,0.222,0.201
FBgn0033129,0.150,0.229
FBgn0033130,0.293,0.307
FBgn0033131,0.000,0.031
FBgn0033132,0.316,0.208
FBgn0033133,0.000,0.035
FBgn0033134,0.227,0.214
FBgn0033135,0.000,0.029
FBgn0033136,0.000,0.000
FBgn0033137,0.000,0.000
FBgn0033138,0.111,0.000
FBgn0033139,0.104,0.093
FBgn0033140,0.123,0.000
FBgn0033141,0.005,0.294
FBgn0033145,0.000,0.250
FBgn0033149,0.086,0.344
FBgn0033153,0.183,0.303
FBgn0033154,0.035,0.039
FBgn0033155,0.056,0.093
FBgn0033158,0.000,0.000
FBgn0033159,0.175,0.000
FBgn0033160,0.232,0.096
FBgn0033162,0.054,0.017
FBgn0033164,0.111,0.266
FBgn0033165,0.120,0.045
FBgn0033166,0.110,0.100
FBgn0033167,0.472,0.241
FBgn0033168,0.020,0.049
FBgn0033169,0.244,0.251
FBgn0033170,0.138,0.229
FBgn0033174,0.236,0.473
FBgn0033177,0.132,0.310
FBgn0033178,0.078,0.030
FBgn0033179,0.018,0.076
FBgn0033183,0.228,0.059
FBgn0033184,0.184,0.000
FBgn0033185,0.194,0.104
FBgn0033186,0.096,0.000
FBgn0033187,0.059,0.066
FBgn0033188,0.403,0.343
FBgn0033190,0.036,0.327
FBgn0033191,0.055,0.040
FBgn0033192,0.079,0.114
FBgn0033194,0.416,0.250
FBgn0033195,0.230,0.176
FBgn0033196,0.356,0.289
FBgn0033199,0.007,0.000
FBgn0033202,0.000,0.000
FBgn0033203,0.109,0.266
FBgn0033204,0.608,0.751
FBgn0033205,0.386,0.567
FBgn0033206,0.072,0.012
FBgn0033207,0.000,0.012
FBgn0033208,0.043,0.088
FBgn0033209,0.165,0.070
FBgn0033210,0.035,0.164
FBgn0033212,0.128,0.084
FBgn0033214,0.038,0.230
FBgn0033215,0.017,0.434
FBgn0033216,0.000,0.232
FBgn0033221,0.247,0.099
FBgn0033222,0.059,0.181
FBgn0033224,0.030,0.215
FBgn0033225,0.286,0.167
FBgn0033226,0.220,0.319
FBgn0033229,0.000,0.085
FBgn0033232,0.004,0.085
FBgn0033233,0.076,0.177
FBgn0033234,0.151,0.166
FBgn0033235,0.000,0.134
FBgn0033236,0.112,0.053
FBgn0033238,0.000,0.402
FBgn0033240,0.174,0.256
FBgn0033241,0.368,0.067
FBgn0033243,0.006,0.189
FBgn0033244,0.081,0.136
FBgn0033246,0.331,0.337
FBgn0033247,0.029,0.081
FBgn0033248,0.031,0.146
FBgn0033249,0.001,0.000
FBgn0033250,0.620,0.577
FBgn0033252,0.010,0.000
FBgn0033257,0.123,0.000
FBgn0033258,0.026,0.480
FBgn0033259,0.144,0.065
FBgn0033260,0.108,0.033
FBgn0033261,0.146,0.000
FBgn0033264,0.129,0.000
FBgn0033265,0.063,0.263
FBgn0033266,0.059,0.039
FBgn0033268,0.311,0.167
FBgn0033271,0.107,0.648
FBgn0033272,0.059,0.195
FBgn0033273,0.107,0.295
FBgn0033274,0.149,0.112
FBgn0033275,0.022,0.000
FBgn0033277,0.000,0.055
FBgn0033278,0.019,0.031
FBgn0033279,0.000,0.192
FBgn0033280,0.008,0.039
FBgn0033283,0.045,0.276
FBgn0033285,0.000,0.173
FBgn0033286,0.000,0.300
FBgn0033287,0.000,0.392
FBgn0033289,0.050,0.059
FBgn0033292,0.229,0.394
FBgn0033294,0.345,0.427
FBgn0033296,0.455,0.430
FBgn0033297,0.460,0.452
FBgn0033301,0.093,0.273
FBgn0033302,0.215,0.569
FBgn0033303,0.114,0.000
FBgn0033304,0.447,0.389
FBgn0033307,0.000,0.060
FBgn0033308,0.000,0.029
FBgn0033309,0.047,0.210
FBgn0033310,0.278,0.227
